X,Y,Diameter_Px,Elevation
374,292,5.12,-8.569999694824219
242,292,6.37,-46.060001373291016
91,141,7.07,11.90999984741211
123,58,6.17,-3.630000114440918
1168,328,7.84,24.850000381469727
1385,315,6.43,27.809999465942383
66,275,6.06,8.789999961853027
918,179,7.57,-9.649999618530273
253,171,7.77,-16.719999313354492
58,144,5.31,17.75
36,63,7.77,2.5
914,30,9.2,16.989999771118164
1335,17,11.17,7.019999980926514
640,357,5.6,12.069999694824219
699,174,6.73,47.15999984741211
672,170,6.71,53.11000061035156
668,116,6.39,59.58000183105469
230,56,5.68,-7.579999923706055
923,193,7.68,-13.029999732971191
283,174,7.58,-11.720000267028809
641,123,5.52,60.060001373291016
846,96,6.74,17.329999923706055
99,58,8.1,-3.430000066757202
1331,54,7.55,1.8700000047683716
1380,354,10.56,39.720001220703125
23,312,6.44,10.539999961853027
1222,283,7.63,35.36000061035156
640,173,7.86,61.650001525878906
940,174,6.16,-19.760000228881836
811,165,6.61,38.380001068115234
36,161,6.97,5.440000057220459
938,158,5.44,-17.290000915527344
208,123,6.86,-2.4600000381469727
701,120,7.8,53.9900016784668
1116,114,6.46,-32.75
1408,110,7.07,9.039999961853027
899,52,5.76,10.140000343322754
108,296,5.11,-1.6399999856948853
935,186,6.04,-16.350000381469727
1070,178,6.78,-63.619998931884766
177,165,5.95,-19.239999771118164
861,94,6.41,16.68000030517578
744,41,9.66,35.72999954223633
455,318,6.92,-22.34000015258789
1263,271,6.8,40.099998474121094
854,192,7.26,28.799999237060547
886,192,5.23,18.8799991607666
433,97,6.95,-17.729999542236328
907,19,6.07,18.899999618530273
829,264,5.65,13.579999923706055
154,151,6.78,-4.0
270,132,7.1,-24.15999984741211
715,94,6.48,50.630001068115234
306,7,7.3,13.9399995803833
300,348,6.91,-18.670000076293945
635,239,6.71,33.439998626708984
1153,129,5.78,-33.060001373291016
1038,107,6.65,-22.690000534057617
462,39,6.75,12.020000457763672
829,245,7.14,15.239999771118164
789,165,6.01,43.16999816894531
803,154,6.99,34.459999084472656
314,155,7.43,-23.93000030517578
1217,124,6.4,-5.929999828338623
1164,74,7.31,-10.489999771118164
697,264,5.78,29.670000076293945
882,206,6.49,26.260000228881836
1569,219,6.2,-1.0
